ingredient	kind	rows	records	example_record	has_local_term	section
Trace salts solution	SOLUTION_NAME	2	2	CultureMech:007483	no	solutions
Solution A*	SOLUTION_NAME	2	2	CultureMech:007487	no	ingredients
Solution B**	SOLUTION_NAME	2	2	CultureMech:007487	no	ingredients
Methanol**	UNRESOLVED_CHEMICAL	2	2	CultureMech:007489	no	ingredients
Pepton	UNRESOLVED_CHEMICAL	2	2	CultureMech:007491	no	ingredients
KP buffer	SOLUTION_NAME	2	2	CultureMech:007499	no	solutions
50% Sodium lactate	UNRESOLVED_CHEMICAL	2	2	CultureMech:007510	no	ingredients
K solution**	SOLUTION_NAME	2	2	CultureMech:007510	no	ingredients
M solution***	SOLUTION_NAME	2	2	CultureMech:007510	no	ingredients
C solution****	SOLUTION_NAME	2	2	CultureMech:007510	no	ingredients
(NH4)2Fe(SO4)2・6H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:007530	no	ingredients
0.2 M Sodium thiosulfate solution	SOLUTION_NAME	2	2	CultureMech:007546	no	solutions
Chelated iron solution (see Medium [M863])	CROSS_REFERENCE	2	2	CultureMech:007561	no	solutions
0.2 M KH2PO4 solution	SOLUTION_NAME	2	2	CultureMech:007561	no	solutions
0.2 M Na2HPO4 solution	SOLUTION_NAME	2	2	CultureMech:007561	no	solutions
Ampicillin (50 mg/ml)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007565	no	ingredients
N--Acetyl--D--glucosamine (Sigma)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007565	no	ingredients
5% (w/v) glycerin solution	SOLUTION_NAME	2	2	CultureMech:007569	no	solutions
Modified trace element mixture (see below)	SOLUTION_NAME	2	2	CultureMech:007577	no	solutions
2% MgCl2・6H2O solution	SOLUTION_NAME	2	2	CultureMech:007583	no	solutions
10% (w/v) NaHCO3 solution*	SOLUTION_NAME	2	2	CultureMech:007583	no	solutions
3% (w/v) Na2S・9H2O solution	SOLUTION_NAME	2	2	CultureMech:007583	no	solutions
SW--25 solution (see below)	SOLUTION_NAME	2	2	CultureMech:007585	no	solutions
Basal medium (see below)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007589	no	ingredients
130 mM FeCl2 solution	SOLUTION_NAME	2	2	CultureMech:007590	no	solutions
8% (w/v) Na2CO3	UNRESOLVED_CHEMICAL	2	2	CultureMech:007600	no	ingredients
Vitamin mixture (see below)	SOLUTION_NAME	2	2	CultureMech:007600	no	ingredients
0.01 M Iron(III) citrate solution	SOLUTION_NAME	2	2	CultureMech:007601	no	solutions
Nitsch's trace elements (see Medium [M266])	CROSS_REFERENCE	2	2	CultureMech:007601	no	solutions
(NH4)2Fe(SO4)2·6H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:007611	no	ingredients
0.5 M Na2HPO4--NaH2PO4 buffer (pH 7.3)	SOLUTION_NAME	2	2	CultureMech:007619	no	ingredients
Solution A (see Medium [M1100])	CROSS_REFERENCE	2	2	CultureMech:007620	no	solutions
Solution B (see Medium [M1100])	CROSS_REFERENCE	2	2	CultureMech:007620	no	solutions
FeSO4・7H2O solution (see below)	SOLUTION_NAME	2	2	CultureMech:007625	no	solutions
250 mM Dithiothreitol solution	SOLUTION_NAME	2	2	CultureMech:007630	no	solutions
1 M Glucose solution*	SOLUTION_NAME	2	2	CultureMech:007638	no	solutions
3.3% KH2PO4 solution	SOLUTION_NAME	2	2	CultureMech:007641	no	solutions
Small dried sardine	UNRESOLVED_CHEMICAL	2	2	CultureMech:007642	no	ingredients
Maize meal	UNRESOLVED_CHEMICAL	2	2	CultureMech:007642	no	ingredients
Artificial seawater (see Medium [M299])	CROSS_REFERENCE	2	2	CultureMech:007648	no	solutions
8% NaHCO3 solution (filter--sterilized)	SOLUTION_NAME	2	2	CultureMech:007653	no	solutions
Trace element solution (see Medium [M224])	CROSS_REFERENCE	2	2	CultureMech:007655	no	solutions
1 M K2HPO4 solution	SOLUTION_NAME	2	2	CultureMech:007656	no	solutions
0.2% Fe(NH4)2(SO4)・6H2O (in 0.037% HCl)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007657	no	ingredients
Trace elements (see Medium [M631])	CROSS_REFERENCE	2	2	CultureMech:007657	no	solutions
FeS solution (see Medium [M641])	CROSS_REFERENCE	2	2	CultureMech:007658	no	solutions
Trace element solution (see Medium [M701])	CROSS_REFERENCE	2	2	CultureMech:007661	no	solutions
0.5 M Crotonic acid (pH 7.0)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007669	no	ingredients
Vitamin solution (see Medium [M609])	CROSS_REFERENCE	2	2	CultureMech:007676	no	solutions
0.5 M MES solution (pH 5.7)	SOLUTION_NAME	2	2	CultureMech:007679	no	solutions
Trace vitamins (see below)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007681	no	ingredients
Methanol--utilizing bacteria medium B (see Medium [M70])	CROSS_REFERENCE	2	2	CultureMech:007715	no	solutions
0.1% Sodium dithionite solution	SOLUTION_NAME	2	2	CultureMech:007724	no	solutions
Yeast autolysate	UNRESOLVED_CHEMICAL	2	2	CultureMech:007726	no	ingredients
1 M Glucose	UNRESOLVED_CHEMICAL	2	2	CultureMech:007744	no	ingredients
10% Tryptone solution (autoclaved)	SOLUTION_NAME	2	2	CultureMech:007748	no	solutions
Phosphate buffer (see below)	SOLUTION_NAME	2	2	CultureMech:007752	no	ingredients
0.25 M Ferric citrate solution (pH 7.0)	SOLUTION_NAME	2	2	CultureMech:007752	no	solutions
Micronutrient solution (SL7) (see Medium [M572])	CROSS_REFERENCE	2	2	CultureMech:007755	no	solutions
NaCO3 solution	SOLUTION_NAME	2	2	CultureMech:007758	no	solutions
Trace metal solution SL12 (see Medium [M581])	CROSS_REFERENCE	2	2	CultureMech:007778	no	solutions
EDTA・Na2	UNRESOLVED_CHEMICAL	2	2	CultureMech:007784	no	ingredients
1.0 M NaHCO3 solution*	SOLUTION_NAME	2	2	CultureMech:007784	no	solutions
1.0 M KH2PO4 solution	SOLUTION_NAME	2	2	CultureMech:007784	no	solutions
0.2 M CeCl3 solution*	SOLUTION_NAME	2	2	CultureMech:007784	no	solutions
1% Hemin solution	SOLUTION_NAME	2	2	CultureMech:007791	no	solutions
Vitamin solution (see Medium [M1239])	CROSS_REFERENCE	2	2	CultureMech:007801	no	solutions
Phosphates solution	SOLUTION_NAME	2	2	CultureMech:007818	no	solutions
Phosphate buffer (see Medium [M560])	CROSS_REFERENCE	2	2	CultureMech:007819	no	solutions
Basal salts solution (see below)	SOLUTION_NAME	2	2	CultureMech:007829	no	solutions
Solution I (see below)	SOLUTION_NAME	2	2	CultureMech:007832	no	solutions
Solution II (see below)	SOLUTION_NAME	2	2	CultureMech:007832	no	solutions
L--cysteine・HCl	UNRESOLVED_CHEMICAL	2	2	CultureMech:007834	no	ingredients
10 mM CuCl2 solution	SOLUTION_NAME	2	2	CultureMech:007843	no	solutions
10 mM CeCl3 solution	SOLUTION_NAME	2	2	CultureMech:007843	no	solutions
Phosphate buffer solution (see below)	SOLUTION_NAME	2	2	CultureMech:007848	no	solutions
1.0 M L-Sodium lactate solution	SOLUTION_NAME	2	2	CultureMech:007851	no	solutions
0.01% Coenzyme M solution	SOLUTION_NAME	2	2	CultureMech:007868	no	solutions
8.0% NaHCO3 solution	SOLUTION_NAME	2	2	CultureMech:007875	no	solutions
1 mM CuSO4・5H2O solution	SOLUTION_NAME	2	2	CultureMech:007880	no	solutions
8% NaHCO3 solution**	SOLUTION_NAME	2	2	CultureMech:007890	no	solutions
R2A agar (DB-Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007915	no	ingredients
Phosphate solution (see Medium [M798])	CROSS_REFERENCE	2	2	CultureMech:007916	no	solutions
Trace metal solution (see Medium [M798])	CROSS_REFERENCE	2	2	CultureMech:007916	no	solutions
Vitamin solution (see Medium [M798])	CROSS_REFERENCE	2	2	CultureMech:007916	no	solutions
Mineral salt solution (see Medium [M798])	CROSS_REFERENCE	2	2	CultureMech:007916	no	solutions
100 mM NH4Cl solution	SOLUTION_NAME	2	2	CultureMech:007930	no	solutions
500 mM MnO2 solution	SOLUTION_NAME	2	2	CultureMech:007930	no	solutions
300 mM Na2S2O3 solution	SOLUTION_NAME	2	2	CultureMech:007930	no	solutions
Oatmeal (Quaker White Oats)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007935	no	ingredients
Sake	UNRESOLVED_CHEMICAL	2	2	CultureMech:007936	no	ingredients
Liver extract concentrate (NBCo)	UNRESOLVED_CHEMICAL	2	2	CultureMech:007936	no	ingredients
Bacto Todd Hewitt Broth (Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008070	no	ingredients
Trace element solution (see Medium [M120])	CROSS_REFERENCE	2	2	CultureMech:008108	no	solutions
Metal salt solution 44****	SOLUTION_NAME	2	2	CultureMech:008121	no	solutions
Fe2+ solution*	SOLUTION_NAME	2	2	CultureMech:008143	no	solutions
Bacto Vitamin Assay Casamino Acids (Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008144	no	ingredients
Vitamin B12 (0.002%) solution	SOLUTION_NAME	2	2	CultureMech:008356	no	solutions
Bacto Agar	UNRESOLVED_CHEMICAL	2	2	CultureMech:008412	no	ingredients
Artificial marine water	UNRESOLVED_CHEMICAL	2	2	CultureMech:008417	no	ingredients
Hutner's basal salts**	UNRESOLVED_CHEMICAL	2	2	CultureMech:008452	no	solutions
HEPES*	UNRESOLVED_CHEMICAL	2	2	CultureMech:008512	no	solutions
1M HEPES-KOH	UNRESOLVED_CHEMICAL	2	2	CultureMech:008527	no	ingredients
Stock solution1*	SOLUTION_NAME	2	2	CultureMech:008527	no	solutions
Trace A5+Co**	UNRESOLVED_CHEMICAL	2	2	CultureMech:008527	no	solutions
Agar Noble (Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008537	no	ingredients
1.0% Hemin solution	SOLUTION_NAME	2	2	CultureMech:008629	no	solutions
sterile defibrinated horse blood	UNRESOLVED_CHEMICAL	2	2	CultureMech:008712	no	ingredients
Charcoal activated	UNRESOLVED_CHEMICAL	2	2	CultureMech:008727	no	ingredients
ACES buffer	SOLUTION_NAME	2	2	CultureMech:008727	no	ingredients
Pyridoxine-HCl (Vitamin B6)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008761	no	ingredients
Riboflavin (Vitamin B2)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008761	no	ingredients
Fe(III) citrate solution	SOLUTION_NAME	2	2	CultureMech:008767	no	solutions
IsoVitaleX (BD 211876)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008799	no	ingredients
Dried Bovine Hemoglobin (BD 212392)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008799	no	ingredients
Swine serum	UNRESOLVED_CHEMICAL	2	2	CultureMech:008816	no	ingredients
Phenol red solution	SOLUTION_NAME	2	2	CultureMech:008816	no	solutions
Lactobacilli MRS	UNRESOLVED_CHEMICAL	2	2	CultureMech:008839	no	ingredients
Sorbitan Monooleate	UNRESOLVED_CHEMICAL	2	2	CultureMech:008839	no	ingredients
Ammonium Citrate	UNRESOLVED_CHEMICAL	2	2	CultureMech:008839	no	ingredients
1M Na2CO3	UNRESOLVED_CHEMICAL	2	2	CultureMech:008844	no	ingredients
Yeast extrakt	UNRESOLVED_CHEMICAL	2	2	CultureMech:008844	no	ingredients
2N H2SO4	UNRESOLVED_CHEMICAL	2	2	CultureMech:008844	no	ingredients
Solution D+C+E	SOLUTION_NAME	2	2	CultureMech:008844	no	solutions
Difco Marine Broth 2216	UNRESOLVED_CHEMICAL	2	2	CultureMech:008853	no	ingredients
Trace element solution SL-6(see below)	SOLUTION_NAME	2	2	CultureMech:008878	no	solutions
Soil extract (see below)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008896	no	ingredients
Agar (alternative)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008899	no	ingredients
Castenholz Salts, 2x	UNRESOLVED_CHEMICAL	2	2	CultureMech:008899	no	ingredients
1% TYE Solution	SOLUTION_NAME	2	2	CultureMech:008899	no	solutions
Nitsch's Trace Elements (see below)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008899	no	solutions
FeCl3 solution (0.03%, see below)	SOLUTION_NAME	2	2	CultureMech:008899	no	solutions
0.01 M Fe citrate	UNRESOLVED_CHEMICAL	2	2	CultureMech:008920	no	ingredients
(NH4)6MoO7O24 x 4 H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:008932	no	ingredients
Distilled water to	UNRESOLVED_CHEMICAL	2	2	CultureMech:008962	no	ingredients
Trace Elements Solution SL-6	SOLUTION_NAME	2	2	CultureMech:008962	no	solutions
Leptospira Enrichment EMJH	UNRESOLVED_CHEMICAL	2	2	CultureMech:008992	no	ingredients
Glucose (50% aqueous solution)	SOLUTION_NAME	2	2	CultureMech:009030	no	solutions
Arginine HCl (50% aqueous solution)	SOLUTION_NAME	2	2	CultureMech:009031	no	solutions
Horse serum (heat-inactivated)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009044	no	ingredients
Vitamin solution:	SOLUTION_NAME	2	2	CultureMech:009050	no	solutions
FeSO4 x 7H2O solution (0.1% w/v in 0.1 N H2SO4)	SOLUTION_NAME	2	2	CultureMech:009051	no	solutions
Solution F:	SOLUTION_NAME	2	2	CultureMech:009053	no	solutions
clarified tomato juice	UNRESOLVED_CHEMICAL	2	2	CultureMech:009061	no	ingredients
MRS broth (Oxoid)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009068	no	ingredients
Heart Infusion Broth (BD 238400)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009146	no	ingredients
Na2CO3 (5% w/v)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009287	no	ingredients
Heat inactivated fetal bovine serum	UNRESOLVED_CHEMICAL	2	2	CultureMech:009312	no	ingredients
Glucose Solution	SOLUTION_NAME	2	2	CultureMech:009312	no	solutions
sterile bovine serum (heat inactivated at 56°C for 45 min)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009321	no	ingredients
sterile 10% w/v NaHCO3 solution	SOLUTION_NAME	2	2	CultureMech:009321	no	solutions
sterile 30% w/v glucose solution	SOLUTION_NAME	2	2	CultureMech:009321	no	solutions
1M MgSO4	UNRESOLVED_CHEMICAL	2	2	CultureMech:009332	no	ingredients
K2HPO4 (anhydrous)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009332	no	ingredients
chocolate agar	UNRESOLVED_CHEMICAL	2	2	CultureMech:009398	no	ingredients
Natural seawater	UNRESOLVED_CHEMICAL	2	2	CultureMech:009538	no	ingredients
Trace element solution SLA (see Medium [M352])	CROSS_REFERENCE	2	2	CultureMech:009542	no	solutions
Vitamin solution VA (see Medium [M352])	CROSS_REFERENCE	2	2	CultureMech:009542	no	solutions
Antifoam SI (Wako)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009558	no	ingredients
Antifoam solution (only for liquid medium)*	SOLUTION_NAME	2	2	CultureMech:009558	no	solutions
Resazurin (0.1%)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009627	no	ingredients
Whatman #1 filter paper	UNRESOLVED_CHEMICAL	2	2	CultureMech:009627	no	ingredients
Wolfe's Modified Mineral Elixir	SOLUTION_NAME	2	2	CultureMech:009627	no	ingredients
Pantothenic acid calcium salt	UNRESOLVED_CHEMICAL	2	2	CultureMech:009627	no	ingredients
2-3 N KOH	UNRESOLVED_CHEMICAL	2	2	CultureMech:009627	no	ingredients
FeNa.EDTA	UNRESOLVED_CHEMICAL	2	2	CultureMech:009667	no	ingredients
PE Medium (see Medium [M298])	CROSS_REFERENCE	2	2	CultureMech:009709	no	solutions
Soil extract (see Medium [M94])	CROSS_REFERENCE	2	2	CultureMech:009715	no	solutions
Inorganic salts--starch agar (ISP--4) (see Medium [M50])	CROSS_REFERENCE	2	2	CultureMech:009725	no	solutions
PY4S AGAR (see Medium [M357])	CROSS_REFERENCE	2	2	CultureMech:009738	no	solutions
SrCl2・H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:009744	no	ingredients
o--phthalic acid	UNRESOLVED_CHEMICAL	2	2	CultureMech:009766	no	ingredients
Glycerol--asparagine agar (ISP--5) (see Medium [M52])	CROSS_REFERENCE	2	2	CultureMech:009792	no	solutions
Poorly crystalline iron(III) oxide (see Medium [M409])	CROSS_REFERENCE	2	2	CultureMech:009795	no	solutions
Trace mineral solution (see Medium [M363])	CROSS_REFERENCE	2	2	CultureMech:009796	no	solutions
hopped beer	UNRESOLVED_CHEMICAL	2	2	CultureMech:009811	no	ingredients
1.0 M Sodium lactate solution*	SOLUTION_NAME	2	2	CultureMech:009816	no	solutions
25% HCl	UNRESOLVED_CHEMICAL	2	2	CultureMech:009817	no	ingredients
Selenite--tungstate solution (see below)	SOLUTION_NAME	2	2	CultureMech:009817	no	solutions
Vitamin solution (filter--sterilized, see below)	SOLUTION_NAME	2	2	CultureMech:009819	no	solutions
sodium dithionite solution	SOLUTION_NAME	2	2	CultureMech:009823	no	solutions
PYG MEDIUM (B) (see Medium [M423])	CROSS_REFERENCE	2	2	CultureMech:009843	no	solutions
1 N NaOH	UNRESOLVED_CHEMICAL	2	2	CultureMech:009849	no	ingredients
Riboflavin solution (see Medium [M463])	CROSS_REFERENCE	2	2	CultureMech:009852	no	solutions
Carrot, peeled and cut	UNRESOLVED_CHEMICAL	2	2	CultureMech:009858	no	ingredients
dithiothreitol solution	SOLUTION_NAME	2	2	CultureMech:009879	no	solutions
Tomato juice, filtered, pH 7.0	UNRESOLVED_CHEMICAL	2	2	CultureMech:009889	no	ingredients
L--cysteine・HCl・H2O solution	SOLUTION_NAME	2	2	CultureMech:009912	no	solutions
Micronutrient solution SL7 (see below)	SOLUTION_NAME	2	2	CultureMech:009913	no	solutions
PY4S agar (see Medium [M357])	CROSS_REFERENCE	2	2	CultureMech:009915	no	solutions
1 mM CuSO4 solution	SOLUTION_NAME	2	2	CultureMech:009916	no	solutions
Thioglycollate medium (Sigma)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009923	no	ingredients
FeSO4 solution (see below)	SOLUTION_NAME	2	2	CultureMech:009925	no	solutions
Calcium malate	UNRESOLVED_CHEMICAL	2	2	CultureMech:009943	no	ingredients
THIORHODOCOCCUS BHEEMLICUM MEDIUM (see Medium [M565])	CROSS_REFERENCE	2	2	CultureMech:009961	no	solutions
15% MgCl2・6H2O solution*	SOLUTION_NAME	2	2	CultureMech:009977	no	solutions
sterile defibrinated rabbit blood	UNRESOLVED_CHEMICAL	2	2	CultureMech:009988	no	ingredients
Trace mineral solution (see Medium [M509])	CROSS_REFERENCE	2	2	CultureMech:009994	no	solutions
Cellulose (Avicel or MN 300)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010000	no	ingredients
Soluble starch (BD-Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
N-Z-Case (Wako)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
MnCl2・4H2O (5.0 g/L in 0.01 N H2SO4)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
ZnSO4・7H2O (0.6 g/L in 0.01 N H2SO4)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
CuSO4・5H2O (0.15 g/L in 0.01 N H2SO4)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
VOSO4・xH2O (1 g/L)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
Na2MoO4・2H2O (12 g/L)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
CoCl2・6H2O (8.0 g/L in 0.01 N H2SO4)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
NiCl2・6H2O (0.2 g/L in 0.01 N H2SO4)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010027	no	ingredients
MODIFIED THERMUS MEDIUM WITH 3% NaCl (see Medium [M634])	CROSS_REFERENCE	2	2	CultureMech:010036	no	solutions
Modified Wolfe's solution (see below)	SOLUTION_NAME	2	1	CultureMech:010042	no	solutions
0.07% Hemin solution	SOLUTION_NAME	2	2	CultureMech:010048	no	solutions
Na2S2O3・5H2O(final conc.)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010065	no	ingredients
0.4 M NH4HCO3 solution	SOLUTION_NAME	2	2	CultureMech:010071	no	solutions
GAM agar, modified (Nissui)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010075	no	ingredients
8% NaHCO3solution*	SOLUTION_NAME	2	2	CultureMech:010103	no	solutions
Ampicillin solution (0.1 g/ml)*	SOLUTION_NAME	2	2	CultureMech:010104	no	solutions
Gelrite (gellan gum) solution	SOLUTION_NAME	2	1	CultureMech:010112	no	solutions
Oatmeal agar (ISP--3) (see Medium [M42])	CROSS_REFERENCE	2	2	CultureMech:010116	no	solutions
Sodium citrate・2H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:010134	no	ingredients
2.2% Sodium butyrate solution	SOLUTION_NAME	2	2	CultureMech:010139	no	solutions
5% L--Cysteine・H2O・HCl solution	SOLUTION_NAME	2	2	CultureMech:010139	no	solutions
7% KH2PO4 solution	SOLUTION_NAME	2	2	CultureMech:010152	no	solutions
RAVOT MODIFIED MEDIUM FOR THERMOANAEROVIBRIO SP. R101 (see Medium [M748])	CROSS_REFERENCE	2	2	CultureMech:010154	no	solutions
10 mM FeSO4 solution (pH 2.0)	SOLUTION_NAME	2	2	CultureMech:010157	no	solutions
Malted wheat meal	UNRESOLVED_CHEMICAL	2	2	CultureMech:010159	no	ingredients
Phosphate solution (see Medium [M762])	CROSS_REFERENCE	2	2	CultureMech:010170	no	solutions
DESULFOVIBRIO MEDIUM (see Medium [M384])	CROSS_REFERENCE	2	2	CultureMech:010183	no	solutions
12.5% Na2S2O3・5H2O solution*	SOLUTION_NAME	2	2	CultureMech:010192	no	solutions
0.1 M MgSO4 solution	SOLUTION_NAME	2	2	CultureMech:010194	no	solutions
10% L--Sodium lactate solution	SOLUTION_NAME	2	2	CultureMech:010202	no	solutions
Mineral salt solution (see below)	SOLUTION_NAME	2	2	CultureMech:010208	no	solutions
Bacto m TGE broth (BD-Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010241	no	ingredients
ACIDIC DILUTED ASM MEDIUM (see Medium [M850])	CROSS_REFERENCE	2	2	CultureMech:010267	no	solutions
Trace element solution (see Medium [M850])	CROSS_REFERENCE	2	2	CultureMech:010268	no	solutions
Iron stock solution (see Medium [M850])	CROSS_REFERENCE	2	2	CultureMech:010268	no	solutions
Phosphate buffer stock solution (see Medium [M850])	CROSS_REFERENCE	2	2	CultureMech:010268	no	solutions
Anaerobic water	UNRESOLVED_CHEMICAL	2	2	CultureMech:010279	no	ingredients
1 M L--Sodium lactate solution	SOLUTION_NAME	2	2	CultureMech:010284	no	solutions
Titanium chloride	UNRESOLVED_CHEMICAL	2	2	CultureMech:010286	no	ingredients
Trace metal solution (see Medium [M80])	CROSS_REFERENCE	2	2	CultureMech:010287	no	solutions
Modified UBS solution (see Medium [M896])	CROSS_REFERENCE	2	2	CultureMech:010314	no	solutions
Bacto agar(BD-Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:010371	no	ingredients
0.5 M Glycine--NaOH buffer (pH 10.0)	SOLUTION_NAME	2	2	CultureMech:010372	no	ingredients
Modified Wolfe's mineral solution (see Medium [M961])	CROSS_REFERENCE	2	2	CultureMech:010389	no	solutions
Vitamin solution (see Medium [M961])	CROSS_REFERENCE	2	2	CultureMech:010389	no	solutions
1M NaHCO3 solution*	SOLUTION_NAME	2	2	CultureMech:009698	no	solutions
Ethanol**	UNRESOLVED_CHEMICAL	2	2	CultureMech:008100	no	solutions
Trace minerals (see Medium No. 151	CROSS_REFERENCE	2	2	CultureMech:002189	no	ingredients
Activated carbon	UNRESOLVED_CHEMICAL	2	2	CultureMech:001956	no	ingredients
4-Amino-5-hydroxymethyl-2-methylpyrimidine	UNRESOLVED_CHEMICAL	2	2	CultureMech:007382	no	ingredients
Agar, Noble (BD 214230)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008960	no	ingredients
CH3COONa	UNRESOLVED_CHEMICAL	2	2	CultureMech:009571	no	ingredients
Colloidal chitin	UNRESOLVED_CHEMICAL	2	2	CultureMech:002440	no	ingredients
Sterile Defibrinated Rabbit Blood	UNRESOLVED_CHEMICAL	2	2	CultureMech:008893	no	ingredients
Brucella Broth (BD 211088)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008874	no	ingredients
MEM alpha Modification	UNRESOLVED_CHEMICAL	2	2	CultureMech:001256	no	ingredients
Adenine sulfate	UNRESOLVED_CHEMICAL	2	2	CultureMech:008827	no	ingredients
Bacto Casamino Acid (Difco)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008763	no	ingredients
NaOH (1N)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009264	no	ingredients
Ground Beef (fat-free)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009264	no	ingredients
ATCC Medium 1490	UNRESOLVED_CHEMICAL	2	2	CultureMech:009143	no	ingredients
PPLO medium	UNRESOLVED_CHEMICAL	2	2	CultureMech:009427	no	ingredients
IMDM-Medium	UNRESOLVED_CHEMICAL	2	2	CultureMech:000636	no	ingredients
Ferric nitrilotriacetate	UNRESOLVED_CHEMICAL	2	2	CultureMech:007294	no	ingredients
Hydrochloric acid, 25%	UNRESOLVED_CHEMICAL	2	2	CultureMech:009297	no	ingredients
Na2S2O3 (if needed)	UNRESOLVED_CHEMICAL	2	2	CultureMech:008209	no	ingredients
Vitamin B12 solution (0.001%)	SOLUTION_NAME	2	2	CultureMech:008209	no	solutions
Ferric citrate solution (0.1%)*	SOLUTION_NAME	2	2	CultureMech:008209	no	solutions
Acetate solution***	SOLUTION_NAME	2	2	CultureMech:008209	no	solutions
Na2S·9H2O (neutralized)****	UNRESOLVED_CHEMICAL	2	2	CultureMech:008209	no	solutions
YE	UNRESOLVED_CHEMICAL	2	2	CultureMech:009006	no	ingredients
DW	UNRESOLVED_CHEMICAL	2	2	CultureMech:008468	no	ingredients
α-D-Glucose monohydrate	UNRESOLVED_CHEMICAL	2	2	CultureMech:001040	no	ingredients
Na3-NTA x H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:001138	no	ingredients
Yeast	UNRESOLVED_CHEMICAL	2	2	CultureMech:008771	no	ingredients
KH2PO4 x 2 H2O	UNRESOLVED_CHEMICAL	2	2	CultureMech:002915	no	ingredients
Daigo's IMK Medium*	UNRESOLVED_CHEMICAL	2	2	CultureMech:008569	no	solutions
N1 Metals solution*	SOLUTION_NAME	2	2	CultureMech:008320	no	solutions
10 N NaOH solution	SOLUTION_NAME	2	2	CultureMech:001068	no	solutions
Hygromycin B solution (50 mg/ml)*	SOLUTION_NAME	2	2	CultureMech:008514	no	solutions
Kanamycin solution (50 mg/ml)*	SOLUTION_NAME	2	2	CultureMech:008599	no	solutions
Rifampicin solution (50 mg/ml)*	SOLUTION_NAME	2	2	CultureMech:008553	no	solutions
Streptomycin solution (50 mg/ml)*	SOLUTION_NAME	2	2	CultureMech:008552	no	solutions
Ox bile, desiccated	UNRESOLVED_CHEMICAL	2	2	CultureMech:008670	no	ingredients
Leibovitz's L-15 medium	UNRESOLVED_CHEMICAL	2	2	CultureMech:003278	no	ingredients
M17 broth	UNRESOLVED_CHEMICAL	2	2	CultureMech:009066	no	ingredients
M17 broth (Oxoid)	UNRESOLVED_CHEMICAL	2	2	CultureMech:009418	no	ingredients
Lactose solution 10% (w/v)	SOLUTION_NAME	2	2	CultureMech:009418	no	solutions
EDDHA	UNRESOLVED_CHEMICAL	2	2	CultureMech:007194	no	ingredients
NH4VO3	UNRESOLVED_CHEMICAL	2	2	CultureMech:009338	no	ingredients
